id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
30,2020-10-29 18:43:49.879361,,,,,,f,,{},participant,b33677b1f12042ab0fa65347aff8c447,mturk,30,3OONKJ5DKEQPRKUAAUONESMDZRUOBK,30:3OONKJ5DKEQPRKUAAUONESMDZRUOBK,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:10.403593,3,2.6,approved
200,2020-10-29 19:04:52.573485,,,,,,f,,{},participant,e8f702dddd24d8010ea70a5f2a225090,mturk,200,3VSOLARPKDGHH2MRTCQZZJTCG00935,200:3VSOLARPKDGHH2MRTCQZZJTCG00935,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:34:06.570458,3,2.4,approved
256,2020-10-29 19:17:01.282253,,,,,,f,,{},participant,8c2b08411f81e112309c3ab2e930759f,mturk,256,3CFVK00FWNSBFNAI1BRNBVWRQLG6L2,256:3CFVK00FWNSBFNAI1BRNBVWRQLG6L2,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:21:38.400823,3,,bad_data
341,2020-10-29 19:43:36.471018,,,,,,f,,{},participant,9606cb06726e6825a04b28bed5512db2,mturk,341,3C8HJ7UOP91X9FCE3SPD864BVU8MZG,341:3C8HJ7UOP91X9FCE3SPD864BVU8MZG,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:44:16.608225,3,,bad_data
304,2020-10-29 19:26:49.497095,,,,,,f,,{},participant,7a0ff1f5081bf167e06091a08cb44638,mturk,304,3XIQGXAUMEFPJH5CY4Z3S3RAS59X7D,304:3XIQGXAUMEFPJH5CY4Z3S3RAS59X7D,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:28:20.516603,3,,bad_data
135,2020-10-29 18:54:05.310709,,,,,,f,,{},participant,b9b3acdb080adaab491e017c49ef306d,mturk,135,32N49TQG3IPFYUYF5SA5E9WFD27AVE,135:32N49TQG3IPFYUYF5SA5E9WFD27AVE,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:22:40.802167,3,0.4,approved
313,2020-10-29 19:29:14.93724,,,,,,f,,{},participant,ada3c453e5a64cf82746fa81489a94c8,mturk,313,35DR22AR5FR7IY4PWSWDFMFUN3U3XL,313:35DR22AR5FR7IY4PWSWDFMFUN3U3XL,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:29:42.627474,,,returned
282,2020-10-29 19:23:07.277012,,,,,,f,,{},participant,e2ccfb6951db0ca0cf36d5746252aa02,mturk,282,3I02618YA2DM8JFHPLIX8IJRYH4PUQ,282:3I02618YA2DM8JFHPLIX8IJRYH4PUQ,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:44:35.630227,3,,bad_data
330,2020-10-29 19:35:14.719421,,,,,,f,,{},participant,71ca9d3054e5ec26e99bd74be6584177,mturk,330,3RGU30DZTCF7907AL6MRKCGLCWOJML,330:3RGU30DZTCF7907AL6MRKCGLCWOJML,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:36:17.572157,3,,bad_data
233,2020-10-29 19:11:25.036975,,,,,,f,,{},participant,7360bc7abe9d549579d35210f88b2d8b,mturk,233,30OG32W0SWI5G26IJ6Q00BSTCE4ENX,233:30OG32W0SWI5G26IJ6Q00BSTCE4ENX,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:38:53.022365,3,0.4,approved
329,2020-10-29 19:34:12.877584,,,,,,f,,{},participant,cfd1d1bce06d83786193f1e037ad4246,mturk,329,3OXV7EAXLGXUZJKTV5NNF92AQZV36R,329:3OXV7EAXLGXUZJKTV5NNF92AQZV36R,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:35:20.136173,3,,bad_data
187,2020-10-29 19:02:26.188242,,,,,,f,,{},participant,b4c9ff8198ca6ae1d1f9919e11bd0f96,mturk,187,3IFS6Q0HJKQECK09NLXDKK0RR6HSIU,187:3IFS6Q0HJKQECK09NLXDKK0RR6HSIU,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:11:40.102666,3,,bad_data
150,2020-10-29 18:55:13.086202,,,,,,f,,{},participant,a418991ff89a86ff7dcaf9adc90aadd2,mturk,150,39ASUFLU6ZEASWKMLCD9YDJRESCEXF,150:39ASUFLU6ZEASWKMLCD9YDJRESCEXF,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:00.578997,3,,bad_data
305,2020-10-29 19:26:53.957513,,,,,,f,,{},participant,701e4c796716c0123e8bd9fdc86eb52d,mturk,305,3CPLWGV3MQ6OL6F1BVAE8XRILHUN92,305:3CPLWGV3MQ6OL6F1BVAE8XRILHUN92,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:28:20.566602,3,,bad_data
61,2020-10-29 18:48:38.397142,,,,,,f,,{},participant,2df25274a651b41bc8111916c089ef70,mturk,61,369J354OFFHVTVWHQKU7Y3RJU4TG65,61:369J354OFFHVTVWHQKU7Y3RJU4TG65,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:01.134587,3,0,approved
36,2020-10-29 18:44:21.529918,,,,,,f,,{},participant,07b791f86d1128d056400a2a8b1ff385,mturk,36,36H9ULYP64113QFTZJIEPMWCFVCFJA,36:36H9ULYP64113QFTZJIEPMWCFVCFJA,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:13:19.988546,3,0,approved
20,2020-10-29 18:43:21.862658,,,,,,f,,{},participant,d23f43478885a06f31cd09b6dc44cbc1,mturk,20,304SM51WA5B4PCM3HB5WYXWEWGXSBL,20:304SM51WA5B4PCM3HB5WYXWEWGXSBL,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:14:34.303703,3,0.8,approved
275,2020-10-29 19:22:09.656171,,,,,,f,,{},participant,a2806f726ca780c3ad25b4ad5d062db0,mturk,275,3EFE17QCRECEGPPPH3FSK8ZCRTAHSY,275:3EFE17QCRECEGPPPH3FSK8ZCRTAHSY,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:40:13.913401,3,1.2,approved
283,2020-10-29 19:23:12.137195,,,,,,f,,{},participant,e6df7cb12104769edf73131fccf5bf07,mturk,283,34Z02EIMIUK4KPW88VDXOLWH7VM0T4,283:34Z02EIMIUK4KPW88VDXOLWH7VM0T4,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:24:59.645007,3,,bad_data
178,2020-10-29 19:01:05.925374,,,,,,f,,{},participant,0168dd5206694c2903f23dd2c87ebc32,mturk,178,340UGXU9D08ZD3CDBXRWEA89K5YUV9,178:340UGXU9D08ZD3CDBXRWEA89K5YUV9,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:25:01.94943,,,returned
306,2020-10-29 19:26:58.277347,,,,,,f,,{},participant,9d29344181f41bc79f6a71e7bda6eafd,mturk,306,3L0KT67Y8GN02KFER3JG68UFHPNYSE,306:3L0KT67Y8GN02KFER3JG68UFHPNYSE,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:28:58.869255,3,,bad_data
257,2020-10-29 19:18:12.531043,,,,,,f,,{},participant,2121238a59e29c28db8200f024088f7f,mturk,257,3I3WADAZ9SBN24D19KXAB6MLPV8O5J,257:3I3WADAZ9SBN24D19KXAB6MLPV8O5J,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:40:26.703451,3,0.6,approved
203,2020-10-29 19:04:58.126193,,,,,,f,,{},participant,83ff1873ca01b3ccf9e5b90950966b84,mturk,203,3IXQG4FA2V5MKXQ48555H2RO4SD9BW,203:3IXQG4FA2V5MKXQ48555H2RO4SD9BW,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:27:06.401893,3,,bad_data
