id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
88,2020-10-29 18:42:38.229764,,,,,,f,,{},32RIADZISUBK4D1U2WV9QJQ8MOGS4F,AssignmentAccepted
90,2020-10-29 18:42:39.540224,,,,,,f,,{},3WS1NTTKE0JU1KE7DB887HHGGM6F03,AssignmentReturned
92,2020-10-29 18:42:39.56446,,,,,,f,,{},32SCWG5HIJB168PGT3KUSC5BVVFP6H,AssignmentAccepted
94,2020-10-29 18:42:39.642573,,,,,,f,,{},33NF62TLXL9CJC770U9B5ZOHNRTKJH,AssignmentAccepted
96,2020-10-29 18:42:39.667539,,,,,,f,,{},39K0FND3AJMW8746R09ERDD2M9UAMW,AssignmentAccepted
98,2020-10-29 18:42:41.297478,,,,,,f,,{},3QILPRALQ72O71WR634081W71B4N85,AssignmentAccepted
100,2020-10-29 18:42:41.321826,,,,,,f,,{},3K2755HG5UAO04F1PNW3MO1ZABFDFU,AssignmentAccepted
101,2020-10-29 18:42:41.346748,,,,,,f,,{},3EA3QWIZ4K2FRKDOCL23UPWDTPVIT9,AssignmentAccepted
103,2020-10-29 18:42:41.375487,,,,,,f,,{},3E337GFOLBF30G29P1GO0ED5PUHNGL,AssignmentAccepted
105,2020-10-29 18:42:42.431842,,,,,,f,,{},3LRLIPTPESG1IJ436OWYC0LYX4ZAKR,AssignmentAccepted
106,2020-10-29 18:42:42.476145,,,,,,f,,{},320DUZ38G9T7HQBOA3OW77WOGACJGD,AssignmentAccepted
108,2020-10-29 18:42:42.926874,,,,,,f,,{},3F0BG9B9MRUEJMVM30L5BHYJUB27YS,AssignmentAccepted
110,2020-10-29 18:42:42.986083,,,,,,f,,{},34PGFRQONQI3EC1OP8SETAICAY2JWC,AssignmentAccepted
112,2020-10-29 18:42:43.011392,,,,,,f,,{},3Y9N9SS8L0ITKSZ85SV1LFC27LAD3L,AssignmentAccepted
114,2020-10-29 18:42:46.800777,,,,,,f,,{},3E1QT0TDFRGWT0L09NR83T0QFCAI8K,AssignmentReturned
116,2020-10-29 18:42:49.282866,,,,,,f,,{},3E337GFOLBF30G29P1GO0ED5PUHGNE,AssignmentAccepted
118,2020-10-29 18:42:49.312228,,,,,,f,,{},32M8BPYGAVTBMFRISL3WV6HO3VNGIY,AssignmentAccepted
119,2020-10-29 18:42:49.336376,,,,,,f,,{},3IFS6Q0HJKQECK09NLXDKK0RR6HSIU,AssignmentAccepted
121,2020-10-29 18:42:49.375567,,,,,,f,,{},3G5W44VEU9P2SAH6SOO88MW1VZCGK9,AssignmentAccepted
123,2020-10-29 18:42:51.406024,,,,,,f,,{},3FPRZHYEP0EFE9ZUWDVVR1I97SEV32,AssignmentAccepted
125,2020-10-29 18:42:51.430146,,,,,,f,,{},3YMU66OBIPFBQKGYM3LBVUG93I8GH5,AssignmentAccepted
127,2020-10-29 18:42:51.454079,,,,,,f,,{},3IUZPWIU1QEYPW767TSQUPIPPN2KWC,AssignmentAccepted
128,2020-10-29 18:42:52.28878,,,,,,f,,{},304SM51WA5B4PCM3HB5WYXWEWGXSBL,AssignmentAccepted
130,2020-10-29 18:42:52.331174,,,,,,f,,{},3QRYMNZ7F0O75LOF91FVZXSUFOPNTU,AssignmentAccepted
132,2020-10-29 18:42:53.388526,,,,,,f,,{},33JKGHPFYE13SQYV04EJDJX2LGTNMT,AssignmentAccepted
133,2020-10-29 18:42:53.444881,,,,,,f,,{},3A7Y0R2P2QVI3C6EZDO0VTWJJ08XJJ,AssignmentAccepted
135,2020-10-29 18:42:54.326004,,,,,,f,,{},3IGI0VL649RRSTJ7DKTW5NM7GG8NO8,AssignmentAccepted
137,2020-10-29 18:42:54.356289,,,,,,f,,{},33NF62TLXL9CJC770U9B5ZOHNRTJKG,AssignmentAccepted
139,2020-10-29 18:42:55.454287,,,,,,f,,{},3MTMREQS4XPSDJYKV2F10BFTKB8AWN,AssignmentAccepted
141,2020-10-29 18:42:59.59275,,,,,,f,,{},3AMYWKA6YDTJL8DFE37F3C0LLQJO6Z,AssignmentAccepted
142,2020-10-29 18:43:01.633157,,,,,,f,,{},3V5Q80FXIZY6HI1S83BKPWLYAUM323,AssignmentAccepted
143,2020-10-29 18:43:01.653462,,,,,,f,,{},3KYQYYSHYXEI6HSUOQFT9IAD2C6ODR,AssignmentAccepted
144,2020-10-29 18:43:01.667052,,,,,,f,,{},3VBEN272MM60GTUEXXXAZ8NBCTPGSQ,AssignmentAccepted
145,2020-10-29 18:43:01.692003,,,,,,f,,{},3I3WADAZ9SBN24D19KXAB6MLPV8O5J,AssignmentAccepted
146,2020-10-29 18:43:01.732192,,,,,,f,,{},3HHRAGRYXAC63RFDCAARNMRNBRRO9A,AssignmentAccepted
147,2020-10-29 18:43:02.634793,,,,,,f,,{},3YHH42UU5DMG1CO3ZMB62UM0DISL0E,AssignmentAccepted
148,2020-10-29 18:43:04.091164,,,,,,f,,{},3QILPRALQ72O71WR634081W71B4N85,AssignmentAccepted
149,2020-10-29 18:43:04.117433,,,,,,f,,{},3QILPRALQ72O71WR634081W71B4N85,AssignmentReturned
150,2020-10-29 18:43:04.143613,,,,,,f,,{},39LOEL67OUCH3X3HOKKLZNY1WUE386,AssignmentAccepted
151,2020-10-29 18:43:04.172622,,,,,,f,,{},3T3IWE1XG8US8I17PT7C3RNZKZCQTK,AssignmentAccepted
152,2020-10-29 18:43:04.230688,,,,,,f,,{},3FUI0JHJPZ5V20XBC3PP86QQG8M33E,AssignmentAccepted
153,2020-10-29 18:43:06.413905,,,,,,f,,{},3X3OR7WPZ17YJ1T6UQOLV9SIWG4L81,AssignmentAccepted
154,2020-10-29 18:43:08.593748,,,,,,f,,{},3PM8NZGV80NZPZARU389SU85XV0QX3,AssignmentAccepted
155,2020-10-29 18:43:08.609989,,,,,,f,,{},3PJUZCGDJ8N3IZSX5TLVQ01NWMN89R,AssignmentReturned
156,2020-10-29 18:43:08.628888,,,,,,f,,{},3OONKJ5DKEQPRKUAAUONESMDZRUOBK,AssignmentAccepted
157,2020-10-29 18:43:08.635194,,,,,,f,,{},34MAJL3QP6UGKWGFCHU8IBIWU8I34Z,AssignmentAccepted
158,2020-10-29 18:43:12.338696,,,,,,f,,{},3T3IWE1XG8US8I17PT7C3RNZKZCQTK,AssignmentReturned
159,2020-10-29 18:43:14.97962,,,,,,f,,{},3PJUZCGDJ8N3IZSX5TLVQ01NWMN89R,AssignmentAccepted
