id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
2782,2020-10-29 19:21:08.674031,,,,,,t,2020-10-29 19:24:48.298342,{},316,318,24
2799,2020-10-29 19:21:56.874548,,,,,,t,2020-10-29 19:24:48.306364,{},321,318,24
2800,2020-10-29 19:21:56.880318,,,,,,t,2020-10-29 19:24:48.313605,{},318,321,24
2812,2020-10-29 19:22:06.76886,,,,,,t,2020-10-29 19:24:48.332933,{},318,323,24
2825,2020-10-29 19:22:06.997573,,,,,,t,2020-10-29 19:24:48.350736,{},324,318,24
2826,2020-10-29 19:22:07.012154,,,,,,t,2020-10-29 19:24:48.357403,{},318,324,24
2797,2020-10-29 19:21:56.860035,,,,,,t,2020-10-29 19:25:39.2101,{},321,316,24
2798,2020-10-29 19:21:56.867283,,,,,,t,2020-10-29 19:25:39.216362,{},316,321,24
2801,2020-10-29 19:21:56.88666,,,,,,t,2020-10-29 19:25:39.22189,{},321,320,24
2802,2020-10-29 19:21:56.89275,,,,,,t,2020-10-29 19:25:39.228169,{},320,321,24
2830,2020-10-29 19:22:07.062488,,,,,,t,2020-10-29 19:25:39.234446,{},321,324,24
2745,2020-10-29 19:19:35.060567,,,,,,t,2020-10-29 19:25:48.119798,{},315,309,25
2746,2020-10-29 19:19:35.067505,,,,,,t,2020-10-29 19:25:48.124344,{},309,315,25
2747,2020-10-29 19:19:35.074456,,,,,,t,2020-10-29 19:25:48.129188,{},315,304,25
2748,2020-10-29 19:19:35.081262,,,,,,t,2020-10-29 19:25:48.133823,{},304,315,25
2135,2020-10-29 19:05:17.839559,,,,,,t,2020-10-29 19:26:13.754443,{},261,258,21
2136,2020-10-29 19:05:17.847822,,,,,,t,2020-10-29 19:26:13.760842,{},258,261,21
2155,2020-10-29 19:05:29.776688,,,,,,t,2020-10-29 19:26:13.767442,{},263,258,21
2156,2020-10-29 19:05:29.783812,,,,,,t,2020-10-29 19:26:13.779325,{},258,263,21
2192,2020-10-29 19:06:07.926871,,,,,,t,2020-10-29 19:26:13.810568,{},258,266,21
2305,2020-10-29 19:07:14.291107,,,,,,t,2020-10-29 19:26:13.818612,{},274,258,21
2306,2020-10-29 19:07:14.300978,,,,,,t,2020-10-29 19:26:13.825873,{},258,274,21
2987,2020-10-29 19:23:54.358382,,,,,,t,2020-10-29 19:26:49.805041,{},337,327,26
2988,2020-10-29 19:23:54.369569,,,,,,t,2020-10-29 19:26:49.809655,{},327,337,26
2437,2020-10-29 19:10:10.340707,,,,,,t,2020-10-29 19:27:07.591231,{},288,277,23
2438,2020-10-29 19:10:10.356498,,,,,,t,2020-10-29 19:27:07.604943,{},277,288,23
2439,2020-10-29 19:10:10.376196,,,,,,t,2020-10-29 19:27:07.610033,{},288,286,23
2440,2020-10-29 19:10:10.389088,,,,,,t,2020-10-29 19:27:07.615064,{},286,288,23
2441,2020-10-29 19:10:10.403166,,,,,,t,2020-10-29 19:27:07.621256,{},288,282,23
2442,2020-10-29 19:10:10.41544,,,,,,t,2020-10-29 19:27:07.628879,{},282,288,23
2445,2020-10-29 19:10:10.456681,,,,,,t,2020-10-29 19:27:07.635844,{},288,279,23
2447,2020-10-29 19:10:10.485356,,,,,,t,2020-10-29 19:27:07.650237,{},288,284,23
2312,2020-10-29 19:07:14.365696,,,,,,t,2020-10-29 19:28:01.017628,{},261,274,21
